Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",66.8528,18.7198,0.0000,bottom
"C2","4u7","C_0805_2012Metric",47.5996,19.3548,0.0000,bottom
"C3","15p","C_0805_2012Metric",30.7340,19.7358,-90.0000,bottom
"C4","15p","C_0805_2012Metric",37.4396,19.8374,90.0000,bottom
"C5","22u","C_0805_2012Metric",92.1365,17.1393,0.0000,bottom
"C6","47u","C_0805_2012Metric",92.1365,20.1493,0.0000,bottom
"C7","10u","C_0805_2012Metric",92.1365,23.1593,0.0000,bottom
"C8","10uF","CP_EIA-3216-18_Kemet-A",38.4124,42.9220,180.0000,bottom
"C9","100nF","C_0805_2012Metric",38.2270,40.6360,180.0000,bottom
"C10","100nF","C_0805_2012Metric",36.2966,23.8760,180.0000,bottom
"C11","100nF","C_0805_2012Metric",45.0342,32.0040,-90.0000,bottom
"C12","100nF","C_0805_2012Metric",27.1094,30.8824,-90.0000,bottom
"C13","22u","C_0805_2012Metric",92.1365,26.1693,0.0000,bottom
"C14","47u","C_0805_2012Metric",92.1365,29.1793,0.0000,bottom
"C15","10u","C_0805_2012Metric",92.1365,32.1893,0.0000,bottom
"D1","BAS516","D_SOD-523",66.1416,14.6050,-90.0000,bottom
"D2","BZX585-B5V6.115","D_SOD-523",66.7512,16.7894,0.0000,bottom
"D3","BLUE","LED_1206_3216Metric",8.2550,37.2110,180.0000,bottom
"D4","RED","LED_1206_3216Metric",8.2042,41.6306,180.0000,bottom
"D5","RED","LED_1206_3216Metric",64.2112,51.1556,-90.0000,bottom
"D6","GREEN","LED_1206_3216Metric",8.2550,32.5120,180.0000,bottom
"D7","RED","LED_1206_3216Metric",91.0082,40.5638,0.0000,bottom
"FID3","Fiducial","Fiducial_1mm_Mask2mm",-2.1535,71.5097,180.0000,bottom
"FID4","Fiducial","Fiducial_1mm_Mask2mm",-8.0463,7.0699,180.0000,bottom
"FID5","Fiducial","Fiducial_1mm_Mask2mm",67.3608,82.1690,180.0000,bottom
"J1","SM06B-GHS-TB","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",61.0362,8.8392,180.0000,bottom
"J2","SM08B-GHS-TB","JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal",21.0312,8.7884,180.0000,bottom
"J3","HEADER_2x03","SMD_2x03",48.7172,25.5524,0.0000,bottom
"J4","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",34.8488,8.7122,180.0000,bottom
"J6","SM07B-GHS-TB","JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal",47.9806,8.8646,180.0000,bottom
"L1","NL03KT330","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",65.7606,21.7932,90.0000,bottom
"L2","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",105.3338,35.5854,0.0000,bottom
"L3","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",111.9765,36.1593,0.0000,bottom
"Q1","BC817-25","SOT-23",12.6238,37.1348,90.0000,bottom
"Q2","BC817-25","SOT-23",12.7254,42.2656,90.0000,bottom
"Q3","BC817-25","SOT-23",12.8778,31.7754,90.0000,bottom
"R1","100R","R_0805_2012Metric",63.9064,14.4272,-90.0000,bottom
"R2","10k","R_0805_2012Metric",18.7452,25.4762,0.0000,bottom
"R3","10k","R_0805_2012Metric",47.6345,39.5255,0.0000,bottom
"R4","100R","R_0805_2012Metric",61.8744,14.4272,-90.0000,bottom
