Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C5","22u","C_0805_2012Metric",125.5237,-138.1487,0.0000,top
"C6","47u","C_0805_2012Metric",125.5237,-141.1587,0.0000,top
"C7","10u","C_0805_2012Metric",125.5237,-144.1687,0.0000,top
"C13","22u","C_0805_2012Metric",125.5237,-147.1787,0.0000,top
"C14","47u","C_0805_2012Metric",125.5237,-150.1887,0.0000,top
"C15","10u","C_0805_2012Metric",125.5237,-153.1987,0.0000,top
"D3","BLUE","LED_1206_3216Metric",153.0263,-119.3169,-90.0000,top
"D4","RED","LED_1206_3216Metric",148.0263,-119.3169,-90.0000,top
"D5","RED","LED_1206_3216Metric",168.0263,-78.6769,-90.0000,top
"D6","GREEN","LED_1206_3216Metric",158.0263,-119.3169,-90.0000,top
"D7","RED","LED_1206_3216Metric",134.6037,-162.0087,0.0000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",126.7123,-121.5013,0.0000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",181.8303,-78.2705,0.0000,top
"FID6","Fiducial","Fiducial_1mm_Mask2mm",126.7631,-76.8481,0.0000,top
"J3","HEADER_2x03","SMD_2x03",134.8737,-155.9287,0.0000,top
"J4","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",133.0037,-147.8187,0.0000,top
"J5","HEADER_2x15","PinSocket_2x15_P2.54mm_Vertical",89.9023,-83.8123,0.0000,top
"J6","SM07B-GHS-TB","JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal",134.8737,-140.3687,0.0000,top
"L2","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",145.3637,-153.4187,0.0000,top
"L3","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",145.3637,-157.1687,0.0000,top
"M1","HOLE","MountingHole_3mm",174.9723,-119.3169,0.0000,top
"M2","HOLE","MountingHole_3mm",174.9723,-78.6769,0.0000,top
"M3","HOLE","MountingHole_3mm",103.8523,-78.6769,0.0000,top
"M4","HOLE","MountingHole_3mm",103.8523,-119.3169,0.0000,top
"R2","10k","R_0805_2012Metric",121.0937,-138.1187,0.0000,top
"R3","10k","R_0805_2012Metric",121.0937,-141.0687,0.0000,top
"R10","511k","R_0805_2012Metric",121.0937,-144.0187,0.0000,top
"R11","91k","R_0805_2012Metric",121.0937,-146.9687,0.0000,top
"R22","806k","R_0805_2012Metric",121.0937,-149.9187,0.0000,top
"R23","91k","R_0805_2012Metric",121.0937,-152.8687,0.0000,top
"R24","180R","R_0805_2012Metric",121.0937,-155.8187,0.0000,top
"R25","100R","R_0603_1608Metric",129.7537,-152.7987,0.0000,top
"R26","10k","R_0805_2012Metric",121.0937,-158.7687,0.0000,top
"R27","100R","R_0603_1608Metric",129.7537,-155.3087,0.0000,top
"R28","100R","R_0603_1608Metric",129.7537,-157.8187,0.0000,top
"R29","100R","R_0603_1608Metric",129.7537,-160.3287,0.0000,top
"R30","100R","R_0603_1608Metric",129.7537,-162.8387,0.0000,top
"SW1","SKRTLAE010","SKRT",141.3337,-145.9237,0.0000,top
"SW2","KMT031","KMT031 NGJ LHS C&K",140.4387,-153.5437,0.0000,top
"SW3","KMT031","KMT031 NGJ LHS C&K",140.4387,-157.5437,0.0000,top
"U1","TPS631000DRLR","SOT-583-8",139.8337,-161.5437,0.0000,top
"U3","TPS631000DRLR","SOT-583-8",143.5237,-161.5437,0.0000,top
"Y1","8 MHz","Crystal_HC49-4H_Vertical",155.5805,-77.9657,0.0000,top
