Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,sim.device,sim.pins,height,mouser part number,mouser price/stock,manufacturer_name,manufacturer_part_number
1,"Unpolarized capacitor, small symbol",C_Small,C3C4,15p,C_0805_2012Metric,2,~,5c70984712875079b91f8b32,,,,,,,
2,Unpolarized capacitor,C,C9C10C11C12,100nF,C_0805_2012Metric,4,~,6508260b462c6d9e720541f1 5c70984712875079b91f8b4c,,,,,,,
3,Unpolarized capacitor,C,C2,4u7,C_0805_2012Metric,1,~,5e3ff8fc1287502a33bad7a3,,,,,,,
4,Unpolarized capacitor,C,C1C7C8C15,10uF,C_0805_2012Metric,4,~,5c70984712875079b91f8b53,,,,,,,
5,"Unpolarized capacitor, small symbol",C_Small,C5C13,22u,C_0805_2012Metric,2,~,650b58f1462c6d9e7205463b,,,,,,,
6,"Unpolarized capacitor, small symbol",C_Small,C6C14,47u,C_0805_2012Metric,2,~,5c70984812875079b91f8bbf,,,,,,,
7,"100V, 0.25A, High-speed Switching Diode, SOD-523",BAS516,D1,BAS516,D_SOD-523,1,https://assets.nexperia.com/documents/data-sheet/BAS16_SER.pdf,693421c6ea235ce78ba25972,D,1=K 2=A,,,,,
8,Light emitting diode,LED,D3,BLUE,LED_1206_mill,1,~,5c70984512875079b91f8898,,,,,,,
9,Zener diode,D_Zener,D2,BZX585-B5V6.115,D_SOD-523,1,https://www.tme.eu/Document/7f59fc987b8fce7e4ab18399d6e66bd1/BZX585-DTE.pdf,60879d38128750769ee58e48,,,,,,,
10,Light emitting diode,LED,D6,GREEN,LED_1206_mill,1,~,5c70984412875079b91f8895,,,,,,,
11,Light emitting diode,LED,D4D5D7,RED,LED_1206_mill,3,~,5c70984412875079b91f8896,,,,,,,
12,2x15 2.54 mm pitch header,HEADER_2x15,J5,HEADER_2x15,Straight_2x15,1,,68226dbfee7fc534862c67d1,,,,,,,
13,,SM04B-GHS-TB,J4,SM04B-GHS-TB,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,,5c86273d1287500b4e0280be,,,,,,,
14,1x07 2.54 mm pitch header,SM06B-GHS-TB,J1,SM06B-GHS-TB,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,,5fa0f70212875025b3977932,,,,,,,
15,1x08 2.54 mm pitch header,SM07B-GHS-TB,J6,SM07B-GHS-TB,JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal,1,,5c7250081287500b4e112e78,,,,,,,
16,1x08 2.54 mm pitch header,SM08B-GHS-TB,J2,SM08B-GHS-TB,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,1,,5fa0f75012875025b3977948,,,,,,,
17,Inductor,L,L2L3,1uH - DFE252012P-1R0M=P2,L_1008_2520Metric,2,~,650b5977462c6d9e72054656,,,,,,,
18,"Inductor with ferrite core, small symbol",L_Ferrite_Small,L1,NL03KT330,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,~,64fe1808f3b9d36f37fc944d,,,,,,,
19,"0.8A Ic, 45V Vce, NPN Transistor, SOT-23",BC817,Q1Q2,BC817-25,SOT-23,2,~,5c70984712875079b91f8aea,,,,,,,
20,Resistor,R,R15,18R,R_0805_2012Metric,1,~,5c70984512875079b91f896e,,,,,,,
21,Resistor,R,R6,51R,R_0805_2012Metric,1,~,5c70984512875079b91f8953,,,,,,,
22,Resistor,R,R8,82R,R_0805_2012Metric,1,~,5c70984512875079b91f8976,,,,,,,
23,Resistor,R,R1R4R17R18R19R20R21R25R27R28R29R30,100R,R_0805_2012Metric,12,~,5c70984512875079b91f8977 5c70984512875079b91f8956,,,,,,,
24,Resistor,R,R14R24,180R,R_0805_2012Metric,2,~,5c70984512875079b91f897c,,,,,,,
25,"Resistor, small symbol",R_Small,R2R3R5R7R9R12R13R26,10k,R_0805_2012Metric,8,~,5c70984612875079b91f899f 5c70984512875079b91f8962,,,,,,,
26,"Resistor, small symbol",R_Small,R11R23,91k,R_0805_2012Metric,2,~,5c70984712875079b91f8a95,,,,,,,
27,"Resistor, small symbol",R_Small,R10,511k,R_0805_2012Metric,1,~,650b5a43462c6d9e7205468e,,,,,,,
28,"Resistor, small symbol",R_Small,R22,806k,R_0805_2012Metric,1,~,650b5abb462c6d9e720546b8,,,,,,,
29,"Push button switch, generic, two pins",SW_Push,SW1SW2,SKRTLAE010,KMT031 NGJ LHS C&K,2,~,612515a61287500165a9771d,,,,,,,
30,"20MHz, 128kB Flash, 16kB SRAM, 4kB EEPROM, JTAG, TQFP-44",ATmega1284P-A,U2,ATMEGA1284P-AU,TQFP-44_10x10mm_P0.8mm,1,http://www.atmel.com/Images/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf,5c70984412875079b91f888e,,,,,,,
31,"Switching Voltage Regulators 1.5-A output current, high power density buck-boost converter",TPS631000DRLR,U1U3,TPS631000DRLR,SOT-583-8,2,https://www.ti.com/lit/ds/symlink/tps631000.pdf?ts=1652152702265,63de5ae4ae0b2d5aa05e2714,,,0.5,595-TPS631000DRLR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS631000DRLR?qs=rSMjJ%252B1ewcRYwoN2deTeNA%3D%3D,Texas Instruments,TPS631000DRLR
32,"Four pin crystal, GND on pins 2 and 4, small symbol",Crystal_GND24_Small,Y1,8 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,~,65481c4c462c6d9e72056ac8,,,,,,,
